variable,coefficient,std_error,t_statistic,p_value,ci_lower,ci_upper,p_value_corrected,significant
const,103.02538321714674,154.27637685543624,0.6677975288056321,0.5290977127659215,-274.47531166212764,480.5260780964211,1.0,False
C_eff,-251.96772646325167,314.72194591715987,-0.800604246802585,0.453886046930285,-1022.0645857433562,518.1291328168529,1.0,False
D_eff,-0.10025764782315677,0.5331226135773932,-0.1880573910575684,0.857030632643431,-1.40476168909906,1.2042463934527465,0.857030632643431,False
SNR,-3.652204299486571,2.7485460141930482,-1.328776844421442,0.23221960037696804,-10.37765411503281,3.073245516059668,1.0,False
Memory,-54.197961999662496,92.0553775341735,-0.5887538941388049,0.5775025849893778,-279.449356249656,171.053432250331,1.0,False
Theta_dot,78.50127660703345,105.72633046858927,0.7424950460221994,0.48582858151823827,-180.20173439462707,337.20428760869396,1.0,False
log_theta,-1.1308703467995809,1.4175143746568715,-0.7977840415715878,0.45540115105887446,-4.59940306931583,2.337662375716668,1.0,False
coupling_sq,188.82647103651644,192.32205210286986,0.9818243356488121,0.36410304247837844,-281.7686374905161,659.4215795635489,1.0,False
coupling_memory,68.28126211283067,105.42934522777576,0.6476494942210996,0.5411850765122762,-189.69505218346814,326.2575764091295,1.0,False
